Biochemical oxygen demand (mg/l),Dissolved Oxygen mg/L,Temperature,pH,COD (chemical Oxygen Demand),Conductivity (uS/cm),Colour (TCU),Floride,Nitrate (mg/l),Potassium (mg/l),Total Organic Carban (mg/l),Chloride (mg/l),Total Suspended Solids,Turbidity (NTU),Potability
2.34,2.2,27.3,6.89,2.986883031,411.56,8.21,0.70238045,26.01,15.28,11.809444,79.14,8.3,2.15,potable
0.93,2,28.2,6.53,1.005552952,1032.79,7.04,0.645331117,24.71,49.77,11.92799853,193.89,7.58,1.79,potable
1.39,2.4,28.2,7.85,1.66952399,46.05,8.64,0.604691988,30.34,34.78,7.654955683,16.71,6.12,1.06,potable
0.25,5.9,26.7,7.05,2.567087705,1147.76,10.59,0.670118868,43.63,42.06,16.6974084,201.11,12.38,4.19,potable
2.82,6.1,28,7.68,0.004246558,600.99,8.68,0.786730653,36.75,29.32,10.87809626,217.97,8.94,2.47,potable
3.49,5.5,29.7,7.59,2.422819077,952.32,8.3,0.600944657,12.84,48.47,14.38072463,4.36,5.24,0.62,potable
2.33,5.4,28.2,8.44,1.759828733,46.91,8.86,0.762554394,23.61,39.81,22.68683674,179.27,10.46,3.23,potable
0.48,5.8,28.9,6.74,0.596662394,879.23,3.97,0.75886969,34.75,39.23,21.94018962,227,10.48,3.24,potable
0.95,5.9,26.4,8.47,0.606813016,118.11,2.67,0.612428356,44.25,47.55,8.404570009,68.8,5.88,0.94,potable
1.31,6.4,30,7.46,0.92914027,571.17,6.56,0.850214297,43.29,0.09,15.91376093,206.35,10.02,3.01,potable
2.37,6.2,30.8,7.44,2.515774321,43.74,0.25,0.626825671,30.76,27.69,12.85340479,106.82,6.3,1.15,potable
1.86,6.1,27.8,8.46,0.587641985,352.07,14.45,0.660323979,19.65,43.13,12.61296618,127.76,5.84,0.92,potable
3.26,7.3,26.7,6.52,1.017886824,386.01,6.63,0.609370772,30.53,41.01,13.89151934,37.37,6.6,1.3,potable
1.15,6.8,27,6.58,0.601924027,10.51,3,0.600177024,36.89,35.74,12.04291419,205.5,6.76,1.38,potable
1.34,7.4,26.8,7.16,2.488281024,886.73,10.11,0.600588736,2.8,45.89,15.92692077,5.93,4,0,potable
4.46,7,19,7.69,2.897958704,733.76,0.7,0.648893445,10.71,3.28,15.59896478,97.63,11.48,3.74,potable
0.42,6.3,21.4,8.37,2.622611853,1436.23,9.02,0.669189714,34.67,37.22,12.58016151,100.22,13.66,4.83,potable
3.86,7.1,27.1,7.07,2.007224663,620.82,1.29,0.641726169,40.38,16.43,18.66140305,131.04,5.88,0.94,potable
3.42,7.3,26.3,8.12,0.826578366,1490.98,5.67,0.62595634,32.7,19.69,18.32840115,241.14,7.78,1.89,potable
1.95,6.7,28.3,8.36,0.51273392,1075.27,6.03,0.675084595,33.2,36.74,10.56645201,214.66,7.86,1.93,potable
0.49,7.4,27.9,6.71,0.893432596,1266.18,3.53,0.618271415,34.5,26.95,14.33883976,22.66,12.08,4.04,potable
4.51,4.5,23.4,7.86,1.359642228,989.74,14.99,0.6820438,39.36,3.24,13.19171963,139.45,4.94,0.47,potable
4.36,6.1,23.5,6.76,2.11981275,1165.31,3.2,0.661342391,14.77,25.46,11.58737783,187.46,10.9,3.45,potable
1.01,5.9,22.4,7.48,2.810554643,925.46,6.72,0.631043306,7.21,37.31,13.93868558,225.62,13.82,4.91,potable
0.88,2.4,26.8,6.6,0.062401296,1063.93,11.17,0.69818183,43.25,39.8,15.49632541,200.93,11.66,3.83,potable
2.72,4,26.5,6.62,2.812602409,895.76,4.6,0.60562954,27.21,34.49,16.56939117,23.92,13.28,4.64,potable
0.98,5.4,22,7.81,2.247564494,576.49,14.18,0.795755532,32.66,2.73,17.5306595,209.43,7.2,1.6,potable
2.88,5.3,27.6,8.45,2.688525927,625.06,6.64,0.606617654,44.49,5.89,11.35873535,77.05,7.5,1.75,potable
0.08,7,26.8,6.91,1.692242538,597.34,9.03,0.653545911,11.78,7.07,13.92500999,155.22,6.76,1.38,potable
4.83,5.9,25.6,8.14,2.270549478,617.5,7.93,0.615230515,21.41,44.08,13.3748312,45.87,13,4.5,potable
2.66,7.1,26.5,7.42,2.740653645,501.59,3.27,0.678226092,10.75,48.05,16.01264274,105.67,10.08,3.04,potable
2.78,6.9,24,7.26,0.442492784,1335.41,7.46,0.620749665,21.63,40.08,13.42280176,172.55,6.82,1.41,potable
4.29,6.6,28,7.84,1.485612414,716.7,2.68,0.638365186,0.67,23.84,12.51573371,156.07,8.56,2.28,potable
1.69,6.6,28,8.29,0.35412365,282.58,3.11,0.651376154,7.9,31.92,11.76345297,206.4,8.96,2.48,potable
1.01,6.8,28,6.54,1.424230122,875.74,0.54,0.639506716,5.82,39.21,13.448689,45.19,8.74,2.37,potable
3.16,4.8,27,8.46,0.573544652,356.21,1.76,0.618482478,1.63,5.7,8.457141855,224.76,10.32,3.16,potable
0.67,6.4,27.8,7.27,1.820369584,557.42,1.64,0.647266157,23.06,6.54,14.38722368,103.38,8.54,2.27,potable
0.49,6.8,23.4,8.07,1.012135202,1447.42,4.42,0.648696659,44.43,48.93,15.98737034,57.39,7.54,1.77,potable
3.84,6.7,25.4,7.01,0.491577096,313.06,3.08,0.628438205,13.06,19.02,20.72580591,30.38,11.78,3.89,potable
2.99,5.8,26.3,7.49,1.598424568,780.46,7.73,0.636649468,39.02,36.68,19.42689332,99.68,7.58,1.79,potable
4.79,6.9,29,7.01,2.165456241,1180.1,12.05,0.604662,29.14,44.15,17.23957738,146.55,10.56,3.28,potable
1.96,4.9,24.6,6.54,1.471890426,488.54,11.28,0.614591722,17.53,35.35,5.914617068,148.06,9.48,2.74,potable
1.11,6.9,23.5,7.51,1.704342291,1113.59,9.21,0.648260363,30.38,3.26,12.9022129,39.09,11.12,3.56,potable
4.79,6.8,29,6.57,2.864828364,196.09,8.53,0.780726951,1.68,0.03,15.15058155,176.63,11.48,3.74,potable
0.38,6.7,27,7.24,0.918856719,777.05,7.12,0.747133706,10.19,6.1,16.72237609,154.85,12.2,4.1,potable
0.9,5.6,24,6.72,2.199933459,1054.91,2.89,0.676043756,5.54,46.38,11.03223999,186.35,12.78,4.39,potable
3.04,6.5,28.7,7.84,1.454650394,38.66,6.45,0.729403754,7.19,3.93,17.30747582,238.99,8.94,2.47,potable
2.29,7.1,26.3,6.54,1.181410447,830.04,11.17,0.602567754,10.01,33.21,16.17062839,9.81,10.04,3.02,potable
3.13,6.4,25.7,7.1,0.855420598,1324.85,1.08,0.601209137,16.68,5.04,12.87712332,78.38,5.14,0.57,potable
0.81,6.9,26.8,8.18,2.505591229,180.93,3.61,0.649102446,16.49,18.56,23.51477377,98.12,6.9,1.45,potable
4.75,6.4,23.3,7.95,1.247052819,215.83,9.95,0.735474447,18.31,4.66,19.57827271,235.18,12.7,4.35,potable
0.23,6.9,22.8,6.96,2.352519503,590.54,6.73,0.611919759,4.47,44.6,15.65614883,24.24,12.52,4.26,potable
4.7,6.3,23.3,7.68,0.96560243,751.07,5.57,0.601777362,2.51,7.36,14.10482106,3.96,5.86,0.93,potable
4.54,6.5,21.8,6.54,0.354161101,358.46,0.39,0.64740858,25.15,18.24,19.4116987,157.84,5,0.5,potable
2.01,6.3,24.3,7.56,1.954200975,250.28,11.41,0.648969362,39.46,15.6,13.97073238,223.44,8.64,2.32,potable
0.48,6.5,23.5,7.64,0.568677598,679.19,14.75,0.614514907,3.4,23.52,14.46029465,32.16,4.92,0.46,potable
0.37,7,24,6.63,0.75508131,1413.72,13.8,0.601769782,17.37,45.35,10.55857558,8.26,7.08,1.54,potable
4.86,7,23.5,7.15,0.638983121,322.4,11.62,0.730699915,17.52,35.94,15.5183225,108.33,5.22,0.61,potable
1.16,6.8,23.3,6.76,0.217800357,465.73,7.87,0.630895066,1.11,3.86,14.02354722,107.48,4.12,0.06,potable
1.28,6.4,22.5,6.68,2.288691807,1427.92,0.65,0.649255101,39.08,49.5,14.89918076,193.35,8.88,2.44,potable
3.88,6.7,26,7.81,1.999316906,471.36,12.41,0.607408627,20.02,15.19,13.82554783,54.16,7.26,1.63,potable
4.96,6.7,25.8,6.96,1.641250045,434.37,13.97,0.669024285,34.37,18.11,15.9523928,171.92,12.1,4.05,potable
3.42,7,30.7,8.31,2.945512436,1068.43,2.78,0.620387395,44.97,11.81,13.83511668,151.9,8.86,2.43,potable
4.19,6.6,20.3,6.69,1.299233526,1118.99,14.86,0.603053422,37.29,49.37,14.06171029,7.09,10.1,3.05,potable
2.11,6.6,20.7,6.77,1.671541782,1411.28,0.55,0.679471479,9.6,40.63,15.55010138,204.36,10.92,3.46,potable
1.24,6.2,20.8,8.29,2.253232879,795.14,12.56,0.642869901,35.55,16.94,14.14931749,148.14,11.66,3.83,potable
3.72,7.1,20.6,7.49,2.189524863,11.17,12.22,0.601256718,33.66,32.03,13.27252598,241.42,8.6,2.3,potable
1.29,7,28,7.57,2.704282903,760.96,7.77,0.626688712,16.61,6.35,14.63390897,170.38,7.5,1.75,potable
0.37,6.7,23.4,7.49,2.938282298,1384.71,12.52,0.608716287,1.5,10.43,15.95213165,164.27,13.1,4.55,potable
3.22,6.2,25.3,7.32,0.498671998,574.8,6.76,0.647480213,16.57,5.51,12.36182677,43.42,13.14,4.57,potable
4.09,7.1,31.1,8.07,1.777225645,72.73,14.04,0.627012978,28.17,3.82,14.88630503,89.27,4.3,0.15,potable
0.75,6.3,26.3,8.44,2.373835448,529.28,8.11,0.622984529,23.96,13.27,19.36869791,85.34,12.44,4.22,potable
1.44,7.3,22,7.75,0.916156535,201.48,2.52,0.65534835,19.8,38.07,13.98629365,193.48,13.7,4.85,potable
0.99,7,24.4,6.66,2.689287201,402.22,7.86,0.616072052,43.25,13.98,13.91164543,71.85,13.54,4.77,potable
4.66,6.8,23.7,8.37,2.898417768,173.54,3.72,0.692683877,44.61,43.9,11.93480194,133.39,10.7,3.35,potable
3.76,7.4,24.6,8.03,0.18279248,1282.13,4.68,0.621599374,39.37,13.47,10.46102466,194.35,11.66,3.83,potable
3.14,1.7,23.1,7.31,0.736636876,1240.17,3.46,0.670819407,15.95,32.23,16.47052774,116.29,13.5,4.75,potable
0.75,6.1,21.7,7.59,2.6098572,1493.5,14.39,0.641531713,19.75,16.41,6.776145723,93.82,7.06,1.53,potable
2.05,6.6,18.2,8.19,0.564857191,1363.73,10.22,0.601491961,28.77,0.05,9.063963653,11.12,4.8,0.4,potable
2.3,6.6,18.8,7.71,2.393057171,414.29,5.71,0.663555865,7.55,33.5,15.87218218,78.67,6.58,1.29,potable
0.15,6,23.8,6.98,0.505176235,679.75,8.51,0.668409921,36.26,34.99,17.39846476,84.17,11.38,3.69,potable
3.7,6.6,17.8,8.38,0.07613429,786.74,5.88,0.633459054,4.97,31.69,17.39566199,47.52,7.16,1.58,potable
0.76,0.6,18.7,8.34,0.963823104,1037.72,2.39,0.678130752,7.01,47.48,13.23935552,217.75,5.46,0.73,potable
0.75,1.8,18.8,8.04,0.438175055,584.14,4.8,0.633224547,26.51,20.61,17.2184173,224.54,12.14,4.07,potable
2.99,7.1,21.3,6.8,0.695044066,597.95,7.26,0.618210609,12.33,34.78,13.35260403,34.12,8.14,2.07,potable
2.03,3.9,22.6,7.59,2.367815095,752.01,11.46,0.792526363,25.85,42.03,11.67484982,240.76,12.74,4.37,potable
3.33,6.6,25.2,6.7,0.436791691,1130.24,11.11,0.629020905,35.08,13.78,16.7689452,140.32,9.44,2.72,potable
0.28,7,24.8,6.89,1.096495066,197.07,6.37,0.722456808,32.38,22.35,17.53229784,187.81,4.04,0.02,potable
2.18,7.3,19.9,7.01,0.132137579,365.3,12.7,0.621723288,15.79,30.69,14.38371843,58.26,8.32,2.16,potable
4.75,0.5,20.7,6.53,2.440264992,320.88,13.29,0.61793783,36.7,12.46,9.151209133,118.34,12.2,4.1,potable
1.58,7,20.6,7.94,0.571427978,94.75,6.2,0.617918819,44.69,7.5,14.80867448,100.95,12.56,4.28,potable
3.24,6.1,21.5,7,1.700816669,639.74,3.65,0.682790075,18.1,21.11,10.21205821,202.15,12.96,4.48,potable
0.38,7,17.7,6.53,1.095581823,1034.28,10.42,0.61367566,10.65,48.93,14.28931979,23.38,10.94,3.47,potable
4.33,5.2,17.9,7.93,2.32410639,169.91,6.44,0.600316249,41.45,30.12,12.44653913,4.57,9.08,2.54,potable
4.62,6.1,23.9,7.88,1.41359855,79.56,11.44,0.646979587,1.52,7.92,12.41269116,233.09,5.02,0.51,potable
4.39,6.5,18,7.01,2.099051231,85.35,8.32,0.600095372,18.07,14.77,10.98914567,2.29,4,0,potable
3.21,7.9,18.4,8.13,1.019204785,475.34,12.89,0.604839135,42.42,15.16,13.94022086,16.28,4.42,0.21,potable
3.27,7.5,18.8,7.81,1.256907065,141.72,7.58,0.601910371,35.64,32.73,17.1969431,81.73,12.82,4.41,potable
3.99,7,24.8,6.98,1.398364837,715.1,2.43,0.760390234,33.84,45.46,16.6724146,217.53,10.1,3.05,potable
1.01,7.3,19.3,8.24,1.108900042,1168.78,1.82,0.722334721,16.87,4.81,14.03790316,196.15,10.32,3.16,potable
2.81,7.5,20.6,7.97,2.146633298,707.96,12.88,0.700154544,15.08,42.06,15.85606224,156.78,7.38,1.69,potable
3.99,6.8,20.7,7.62,2.62857765,688.78,3.55,0.678741729,13.09,32.26,13.62886544,78.54,6.28,1.14,potable
0.96,5.8,18.4,7.25,0.388095364,971.63,9.12,0.643872633,33.38,48.53,9.225985273,50.4,13.14,4.57,potable
2.1,7.1,19.1,7.44,2.905169387,338.48,8.92,0.607867937,31.67,39.15,11.09589252,23.24,9.66,2.83,potable
4.35,6.8,19.7,7.57,2.690418158,1309.12,14.11,0.632602807,22.49,41.01,9.762360818,73.1,6.24,1.12,potable
0,5.7,20.1,8.04,1.13404915,23.53,12.64,0.628869432,2.58,34.54,15.74063873,92.41,4,0,potable
4.15,6.7,17.6,7.69,1.238775412,882.96,12.48,0.651960716,8.74,11.19,10.08866801,126.11,4.1,0.05,potable
1.66,7,22.7,8.49,1.925686324,289.6,12.93,0.749641241,8.99,43.32,17.44681822,132.64,13.04,4.52,potable
3.73,6.5,17.9,8.03,0.462559264,827.21,1.23,0.605897038,32.95,45.39,13.75883583,39.06,12.84,4.42,potable
4.14,6.6,18.9,6.69,1.379813194,287.58,5.49,0.701551282,16.52,6.89,11.14503977,71.83,9.9,2.95,potable
1.95,7,19.4,6.98,0.207856004,1173.76,7.84,0.610084189,18.38,1.01,11.19848306,14.06,13.42,4.71,potable
2.81,6.3,23.7,7.98,0.075995827,1162.09,6.05,0.605330431,17.75,47.37,12.85451911,54.02,11.64,3.82,potable
1.99,6,22.7,6.71,2.105529829,1307.67,10.9,0.621958345,3.26,18.15,15.4003962,65.77,4.44,0.22,potable
0.45,4.4,23.6,8.23,2.678759627,186.49,2.83,0.605083708,7.77,4.35,15.44149005,123.82,8.3,2.15,potable
4.56,4.5,23.8,6.98,0.440141688,1285.45,4.22,0.690110262,22.3,12.92,16.10651511,205.74,8.48,2.24,potable
4.98,5.1,23.5,8.5,2.412005149,1390.17,4.46,0.62287569,3.23,41.39,18.80051563,131.15,6.86,1.43,potable
0.54,7.5,23.5,8.43,1.58690929,1372.1,11.27,0.62935386,1.55,2.86,19.58500189,27.74,6.48,1.24,potable
2.75,6.8,27.4,6.63,2.164329493,502.75,3.59,0.766362704,6.8,47.28,17.29164516,223.71,7.66,1.83,potable
3.68,6.8,21.9,6.97,2.856712774,695.79,3.15,0.743813473,29.53,35.42,9.545091693,216.76,13.9,4.95,potable
1.8,5.9,27.5,7.22,2.5229856,728.99,8.11,0.674362791,3.36,36.11,10.84209516,199.29,7.24,1.62,potable
2.76,4.9,31,7.96,2.709671718,611.95,2.18,0.605539667,4.06,19.6,15.49138749,7.51,4,0,potable
1.81,6.8,28,6.6,2.218950789,765.24,14.93,0.73241565,37.55,42.47,17.32308073,189.17,5.16,0.58,potable
3.64,7.1,27,8.12,1.12781185,871.9,10.28,0.674663786,17.52,21.45,11.79184027,166.05,6.42,1.21,potable
4.24,6.9,30,8.08,0.567701394,38.3,3.14,0.69387352,14.14,15.62,10.38225265,145.62,13.46,4.73,potable
1.27,6.5,31,7.45,2.707464065,496.35,14.36,0.634481323,16.8,26.05,10.94126989,199.86,8.46,2.23,potable
4.8,4.9,29,8.41,1.211280306,622.87,3.51,0.679624743,22.82,26.67,14.95129501,237.98,8.6,2.3,potable
4.93,4.2,31,8.34,0.32557666,1228.58,11.81,0.643590273,41.42,47.15,9.147436119,84.43,11.04,3.52,potable
3.66,6.9,30,8.19,1.196228604,1265.43,7.74,0.625369669,14.91,40.49,13.98673533,35.89,5.32,0.66,potable
0.3,6.6,30,6.72,2.170516579,947.01,9.59,0.600137993,44.28,47.99,18.28480665,4.5,12.52,4.26,potable
2.02,4.5,29,7.56,0.669526362,79.89,14.15,0.660190086,40.8,45.28,12.48800692,110.61,9.36,2.68,potable
3.42,6.2,29,8.16,2.873278331,176.05,7.47,0.664689444,27.44,8.04,15.31487917,94.78,13.68,4.84,potable
1.35,6.6,29,6.6,1.033394656,53.89,13.46,0.776085368,26.24,5.67,15.30606267,221.11,10.38,3.19,potable
2.59,6.3,28,6.9,2.758740025,1351.13,2.3,0.697563134,5.35,30.52,12.96143251,111.62,8.3,2.15,potable
0.52,6,30,7.63,1.738794276,465.89,12.53,0.834990508,22.45,29.17,16.59093153,189.14,8.26,2.13,potable
4.45,6,30,7.96,2.661425815,121.55,0.86,0.65885058,1.18,9.81,12.7237245,138.15,4.96,0.48,potable
4.35,5.8,27,6.69,2.812444903,717.58,10.72,0.600333834,32.71,19.39,15.88964959,1.85,13.9,4.95,potable
4.03,6.1,28,7.28,0.04991611,1460.33,10.04,0.786179715,44.54,30.26,15.62751448,200.04,8.58,2.29,potable
0.3,6.4,29,7.83,0.02144877,1367.25,10.53,0.618269615,3.15,3.37,10.85526322,70.88,12.72,4.36,potable
4.65,7.1,28,7.51,2.605991226,228.22,11.5,0.786673088,35.59,4.3,13.00844311,212.97,10.06,3.03,potable
2.1,6.7,29,6.73,2.56683367,556.58,10.58,0.612350098,30.77,29.18,18.63214156,30.72,7.72,1.86,potable
4.55,6.8,29,7.06,2.634229581,86.84,3.02,0.604049909,4.49,0.13,12.38359721,9.82,6.54,1.27,potable
0.41,7.8,30,8.31,1.747813278,1324.55,8.88,0.602700076,34.58,26.37,14.35290461,22.68,6.98,1.49,potable
3.5,7.7,28,6.8,0.645790639,7.21,1.86,0.620470976,3.24,38.98,11.26688617,194.15,10.26,3.13,potable
2.85,6.9,28,6.95,0.953593667,874.89,2.45,0.744475122,22.3,35.98,9.612293184,142.2,10.62,3.31,potable
0.54,7.3,29,7.4,0.096024211,513.54,14.45,0.626956893,19.9,11.29,7.750606555,56.84,13.78,4.89,potable
2.56,6.8,28,6.82,2.26425504,940.46,13.72,0.61724186,13.25,18.76,18.46869035,33.43,12.78,4.39,potable
1.26,7.2,30,8.47,0.071695441,876.62,5.22,0.601855754,22.46,3.43,18.18887253,156.77,9.46,2.73,potable
1.89,8,30,6.84,0.766301491,1139.89,1.03,0.683631968,24.11,4.9,14.66570381,219.12,4.68,0.34,potable
3.76,8.2,31,8.06,1.38439492,1442.2,0.18,0.600011431,28.4,41.47,12.38922918,0.13,5.86,0.93,potable
0.2,7,29,7.22,1.44216875,1417.64,9.17,0.604324911,2.04,31.12,10.2130582,15.93,12.46,4.23,potable
2.3,7.2,30,7.67,2.586803166,519.1,0.9,0.602392732,37.14,12.6,15.14906826,11.08,11.9,3.95,potable
0.79,6.8,29,8.19,2.164908721,1228.12,14.57,0.608242534,14.1,22.06,16.53621617,49.1,10.76,3.38,potable
3.68,6.5,29,6.75,2.552428575,6.26,12.21,0.631457069,5.26,26.34,14.16660236,167.65,12.9,4.45,potable
3.32,6.9,29,7.19,1.868090664,720.91,11.83,0.610105561,35.66,41.31,18.8222159,27.26,9.48,2.74,potable
0.14,6.8,29,7,1.211377251,778.54,4.81,0.603815528,21.07,33.13,13.80837511,174.76,8.48,2.24,potable
0.62,6,30,7.63,1.006444422,259.49,10.22,0.604749009,43.61,31.08,14.96277971,43.11,5.9,0.95,potable
3.26,6.8,27,7.28,2.167505167,548.91,13.58,0.686754955,38.46,37.21,9.693048967,83.56,9,2.5,potable
2.94,7.3,27,7.89,1.158930744,1325.93,11.4,0.791674644,22.04,6.27,9.184400747,215.02,10.38,3.19,potable
2.05,7,27,7.68,1.237042013,277.51,11.37,0.625486506,30.65,35.4,15.40338969,32.51,13.3,4.65,potable
1.82,6.7,23,7.59,0.362634667,472.67,8.7,0.60222533,31.98,32.61,18.36143559,15,13.8,4.9,potable
1.44,7.2,29,6.56,1.812501399,719.79,8.14,0.784649204,25.27,35.48,14.98003369,221.92,4.14,0.07,potable
2.29,7,29,8.03,1.231156133,274.88,4.27,0.627633204,40.96,47.16,19.62192339,243.73,13.62,4.81,potable
3.65,7,28,6.78,0.743730025,1078,5.14,0.651096548,38.55,23.94,14.82644147,58.09,6.64,1.32,potable
4.49,7.4,29,6.95,0.712020016,1187.49,10.52,0.602822877,16.34,33.65,12.93732874,118.3,11.14,3.57,potable
2.53,7.2,25,8.36,1.182026203,1155.64,8.09,0.649510523,24.09,4.97,13.8434938,86.99,4.32,0.16,potable
2.58,7.1,28,6.72,2.266937715,1292.59,2.92,0.638717732,12.39,27.4,13.89563062,121.69,11.78,3.89,potable
0.96,7.2,29,6.74,1.878698475,759.27,8.99,0.66800337,44.04,32.67,12.82650937,114.16,4.8,0.4,potable
0.28,6.7,29,8.14,0.98166508,483.3,6.28,0.703072317,11.51,47.25,17.1960121,126.27,10.28,3.14,potable
2.71,6.7,29,8.45,0.601318069,150.83,8.49,0.629819214,33.82,48.1,13.91386963,88.77,12.24,4.12,potable
2.98,0.2,29,6.61,2.693748907,15.39,12.09,0.726957799,28.94,21.37,11.42091036,165.67,7.64,1.82,potable
2.39,6.8,30,7.33,1.079412638,305.41,7.74,0.629023306,33.11,16.38,16.64247971,185.01,13.66,4.83,potable
4.56,5.5,30,6.74,0.091544932,1213.43,5.75,0.612460154,19.56,38.25,13.91682032,50.61,11.88,3.94,potable
3.76,5.5,29,7.53,1.620332234,641.75,1.82,0.602426728,2.11,3.28,18.75990224,180.13,13.2,4.6,potable
0.93,5.3,25,8.13,2.981592126,956.54,8.53,0.663370512,15.64,14.92,13.042948,98.44,6.06,1.03,potable
0.05,5.1,30,8.02,0.975766162,705.29,13.27,0.770076439,26.27,44.06,9.640241052,237.29,4.22,0.11,potable
3.21,5.3,30,7.18,1.849159908,322.47,0.53,0.606391434,11.8,34.44,15.79097733,6.53,4.66,0.33,potable
0.36,4.9,31,7.61,2.295769421,876.67,6.43,0.651580654,17.94,11.14,11.75734824,203.97,8.4,2.2,potable
2.2,4.3,30,7.12,1.652177592,310.89,12.46,0.625751135,1.83,29.02,12.51464126,42.79,8.44,2.22,potable
4.06,4.8,30,8.03,1.161346776,927.11,9.75,0.73941786,8.13,9.92,10.82869634,107.15,9.3,2.65,potable
0.46,5.1,28,6.7,1.489614526,819.22,9.95,0.62587725,33.02,31.01,17.03246611,62.33,8.12,2.06,potable
4.44,5.3,28,7.4,0.706003823,127.5,4.6,0.600919167,21.43,31.74,14.80519846,4.81,7.86,1.93,potable
3.49,4.9,28,7.07,2.683826354,399.38,12.66,0.616421981,4.67,29.83,17.79595745,51.26,7.64,1.82,potable
0.84,5.2,27,7.46,0.841018568,248.49,6.93,0.61383505,9.44,18.52,20.05151858,49.04,4.02,0.01,potable
0.61,6.4,27,7.03,2.967642782,1452.87,1.12,0.603283952,40.39,16.48,12.33228811,95.58,9.72,2.86,potable
1.73,6.6,26,8.4,1.965855053,423.51,10.98,0.639510349,40.66,49.48,23.56964491,130.82,4.44,0.22,potable
3.48,6.4,27,7.82,1.847696402,1017.93,7.83,0.600782919,36.14,35.46,15.90098505,31.61,6.76,1.38,potable
1.04,4.8,28,7.6,1.905112998,686.45,13.75,0.769345784,21.03,24.69,15.49560337,203.56,4.06,0.03,potable
0.77,7.7,23,7.6,2.366933022,232.66,8.34,0.631404097,33.24,42.16,15.0086742,239.83,11.68,3.84,potable
3.2,7.3,22,8.18,1.624979509,1272.23,8.19,0.603639356,40.09,21.58,12.89704926,7.5,8.14,2.07,potable
2.25,7.1,23,8.11,0.577751468,531.68,2.71,0.603676293,36.84,17.64,15.31397775,84.46,12.56,4.28,potable
0.63,3.3,26,7.57,0.139851892,608.04,5.16,0.622763262,28.54,5.02,17.18796335,149.98,12.54,4.27,potable
3.99,6.2,26,8.11,1.50711028,857.49,10.88,0.62916983,16.94,31.39,12.63608646,183.34,4.92,0.46,potable
1.53,6,26,7.31,2.029558946,403.44,10.66,0.717119954,6.49,0.42,17.53070356,108.16,7.06,1.53,potable
0.6,5.9,26,6.81,0.743243957,1357.55,7.57,0.658336935,10.56,22.11,10.68067274,164.84,10.1,3.05,potable
2.26,6.4,26,7.95,2.393330951,53.68,11.75,0.693468852,38.74,25.53,10.43033979,161.8,13.02,4.51,potable
3.68,5.9,26,8.4,2.023568128,999.37,9.65,0.604174777,34.59,43.26,15.48527563,26.26,4.4,0.2,potable
2.38,7.3,29,7.7,1.830064482,184.87,14.36,0.618556082,36.79,30.4,10.42915946,70.72,13.04,4.52,potable
3.59,8.5,28,7.08,0.356974172,835.94,0.81,0.603945809,38.1,22.87,13.91876862,35.46,13.14,4.57,potable
2.07,8.9,28,6.81,0.654590534,639.7,3.97,0.669021685,11.08,7.57,13.65110537,236.63,12.24,4.12,potable
4.7,8,29,7.9,1.85379297,1120.87,9.84,0.646567981,42.66,5.57,16.21914102,64.77,11.28,3.64,potable
4.04,7.5,26,7.2,0.515905411,688.37,11.03,0.622628587,20.5,47.05,18.18983851,38.77,10.66,3.33,potable
2.29,8.5,26,6.74,0.184008167,1148.21,5.23,0.690080887,1.99,48.71,12.72192188,183.02,8.96,2.48,potable
4.91,8.4,28,8.36,0.839185705,1082.77,13.47,0.603068427,17.42,28.42,13.27027883,146.37,6.6,1.3,potable
3.31,8.7,29,8.25,2.260835372,220.59,9.16,0.762460139,43.63,29.47,14.7925852,124.15,5.24,0.62,potable
2.53,6.5,28,6.84,2.989771393,682.32,7.13,0.636224609,0.74,35.52,18.41518046,31.68,10.18,3.09,potable
0.47,8.6,26,8.04,2.157908624,907.4,3.99,0.66441222,18.31,1.42,16.45099005,229.74,9.46,2.73,potable
0.05,8.9,26,7,0.72747773,345.21,13.57,0.616813975,29.15,37.55,14.73229122,127.64,4.94,0.47,potable
4.98,9.8,25,7.75,0.017920533,1150.21,11.26,0.701968212,4.7,42.49,8.95640146,101.52,10.9,3.45,potable
0.16,7.6,29,7.67,1.680713717,906.65,14.16,0.677947633,22.38,10.66,9.901327632,215.14,13.92,4.96,potable
0.32,8.7,29,6.78,0.808842618,848.18,2.83,0.728833359,29.11,2.59,14.97119882,113.43,10.84,3.42,potable
1.34,8.4,28,7.28,2.9067762,419.24,6.46,0.602173252,1.59,25.16,20.38671963,73.01,13.2,4.6,potable
0.9,8.7,27,7.14,2.268691324,939.46,7.43,0.647893177,32.56,44.01,15.67156353,110.98,9.04,2.52,potable
3.82,8.2,25,7.03,2.998938938,574.36,13.26,0.635328837,16.67,45.8,13.2019432,125.26,4.36,0.18,potable
1.4,8,26,7.91,0.907845883,852.88,9.82,0.612244217,22.66,14.99,14.22175704,109.79,13.58,4.79,potable
0.41,8.4,27,7.26,2.031374129,1327.15,1.97,0.61734694,22.05,13.63,16.38314048,100.59,6.4,1.2,potable
0.41,9.4,27,6.66,1.623013803,128.43,13.83,0.602070151,5.21,6.13,13.98356664,6.36,4.96,0.48,potable
2.81,8.1,29,6.84,1.460735779,72.08,0.21,0.626076412,18.94,42.04,13.91093319,85.94,4.08,0.04,potable
